the_geom,cartodb_id,name,line
0101000020E6100000CC74AF93FAB20DC0B6BC72BD6D3A4440,179,Francos Rodríguez,L7
0101000020E610000093ACC3D155BA0DC03BBF28417F3B4440,180,Valdezarza,L7
0101000020E6100000C4AA4198DBBD0DC02907B309303C4440,181,Antonio Machado,L7
0101000020E610000026F73B1405BA0DC0643DB5FAEA3C4440,182,Peñagrande,L7
0101000020E610000079B130444EBF0DC0BF805EB8733D4440,183,Avenida de la Ilustración,L7
0101000020E61000009132E202D0C80DC0A19927D7143E4440,184,Lacoma,L7
0101000020E6100000C954C1A8A4CE0DC0C39B35785F3F4440,185,Pitis,L7
0101000020E6100000384BC972128A0DC0B003E78C28394440,186,Nuevos Ministerios,L8
0101000020E6100000161747E5266A0DC065FED137693A4440,187,Colombia,L8
0101000020E6100000C5DCB5847C300DC0E3E0D231E73B4440,188,Pinar del Rey,L8
0101000020E61000000D2F88484D1B0DC001A260C6143C4440,189,Mar de Cristal,L8
0101000020E6100000CBBE2B82FFED0CC051F4C0C7603B4440,190,Campo de las Naciones,L8
0101000020E61000005ED905836B8E0CC0BABBCE86FC3B4440,191,Aeropuerto T1-T2-T3,L8
0101000020E6100000D93F4F0306A90CC0AEB9A3FFE53C4440,192,Barajas,L8
0101000020E6100000FDC401F4FBBE0CC0C0417BF5F13E4440,193,Aeropuerto T4,L8
0101000020E610000056EF703B34AC0DC0B345D26EF43F4440,194,Paco de Lucía,L9
0101000020E6100000DC15FA6019BB0DC072361D01DC3E4440,195,Mirasierra,L9
0101000020E6100000A69A594B01A90DC08463963D093E4440,196,Herrera Oria,L9
0101000020E6100000003ACC9717A00DC0B98AC56F0A3D4440,197,Barrio del Pilar,L9
0101000020E61000003637A6272C910DC072E14048163C4440,198,Ventilla,L9
0101000020E61000004F3BFC3559830DC06D59BE2EC33B4440,199,Plaza de Castilla,L9
0101000020E61000001D166A4DF36E0DC04E7ADFF8DA3B4440,200,Duque de Pastrana,L9
0101000020E6100000359204E10A680DC024068195433B4440,201,Pío XII,L9
0101000020E6100000B537F8C2646A0DC0FE277FF78E3A4440,202,Colombia,L9
0101000020E61000005E68AED3486B0DC06A8995D1C8394440,203,Concha Espina,L9
0101000020E6100000EFAEB321FF6C0DC0F4E0EEACDD384440,204,Cruz del Rayo,L9
0101000020E61000001747E5266A690DC0FD4CBD6E11384440,205,Avenida de América,L9
0101000020E61000008FC2F5285C6F0DC0F3203D450E374440,206,Núñez de Balboa,L9
0101000020E6100000ED9DD15625710DC080F0A1444B364440,207,Príncipe de Vergara,L9
0101000020E61000000373F4F8BD6D0DC0C90050C58D354440,208,Ibiza,L9
0101000020E6100000C45BE7DF2E5B0DC07FFACF9A1F354440,209,Sainz de Baranda,L9
0101000020E61000001309A69A594B0DC0DEACC1FBAA344440,210,Estrella,L9
0101000020E61000000C54C6BFCF380DC06AC18BBE82344440,211,Vinateros,L9
0101000020E610000067EBE0606F220DC0B2D7BB3FDE334440,212,Artilleros,L9
0101000020E6100000D07F0F5EBB140DC0786000E143334440,213,Pavones,L9
0101000020E6100000C22E8A1EF8F80CC032FFE89B34334440,214,Valdebernardo,L9
0101000020E6100000B12B2D23F5DE0CC0DADFD91EBD334440,215,Vicálvaro,L9
0101000020E610000030D63730B9D10CC0ED612F14B0334440,216,San Cipriano,L9
0101000020E610000097C62FBC92C40CC004BF0D315E334440,217,Puerta de Arganda,L9
0101000020E61000008C98D9E7312A0CC09702D2FE072A4440,218,Rivas Vaciamadrid,L9
0101000020E6100000C186A757CA320CC058E4D70FB12B4440,219,Rivas Futura,L9
0101000020E610000004C765DCD4600CC0E3175E49F22E4440,220,Rivas-Urbanizaciones,L9
0101000020E61000004704E3E0D2D10BC0AB7B6473D5284440,221,La Poveda,L9
0101000020E6100000A7E0F08288940BC04DF8A57EDE264440,222,Arganda del Rey,L9
0101000020E61000006FED444948E40CC093C5FD47A6474440,223,Hospital Infanta Sofía,L10
0101000020E610000088D349B6BAFC0CC0CB48BDA772464440,224,Reyes Católicos,L10
0101000020E61000000E9F7422C1140DC0F9A3A833F7464440,225,Baunatal,L10
0101000020E6100000F9B48AFED02C0DC0118DEE2076464440,226,Manuel de Falla,L10
0101000020E610000038984D8061190DC0DFC14F1C40454440,227,Marqués de la Valdavia,L10
0101000020E6100000C3499A3FA6150DC018963FDF16444440,228,La Moraleja,L10
0101000020E6100000302AA913D0440DC06DC83F3388434440,229,La Granja,L10
0101000020E6100000F910548D5E4D0DC0F0FCA204FD414440,230,Ronda de la Comunicación,L10
0101000020E6100000143E5B07075B0DC09E5E29CB10414440,231,Las Tablas,L10
0101000020E61000006B2E3718EA900DC0E9263108AC404440,232,Montecarmelo,L10
0101000020E610000039D1AE42CA8F0DC0AA60545227404440,233,Tres Olivos,L10
0101000020E610000075745C8DEC8A0DC0DBF7A8BF5E3F4440,234,Fuencarral,L10
0101000020E6100000672B2FF99F7C0DC01FDAC70A7E3D4440,235,Begoña,L10
0101000020E61000000D91D3D7F3750DC075CDE49B6D3C4440,236,Chamartín,L10
0101000020E61000004487C09140830DC06D59BE2EC33B4440,237,Plaza de Castilla,L10
0101000020E61000007406465ED6840DC05A66118AAD3A4440,238,Cuzco,L10
0101000020E610000000FA7DFFE6850DC08BC3995FCD394440,239,Santiago Bernabéu,L10
