the_geom,amenity,name,cartodb_id
0101000020E6100000CA7F924C988A0DC030E4C74E2E3E4440,restaurant,Mesón Gallego,69
0101000020E610000093F139C148890DC09FCC3FFA263E4440,restaurant,Queen Burger Gourmet,70
0101000020E61000004C1CD4D9248A0DC08D2551D43E3E4440,restaurant,tele-bocata,71
0101000020E610000059EBD511D1890DC0AFA4CB51363E4440,pub,El Rincón de Salva II,72
0101000020E61000004A82CBBE867B0DC059FED714233E4440,pub,La Muralla,73
0101000020E6100000B89965AABB7D0DC0577FDF1A333E4440,pub,Bar Acueducto,74
0101000020E610000085C146A34C840DC06F62484E263E4440,restaurant,Casa Mouriño,76
0101000020E6100000F3D36EAAA4840DC0B608D682283E4440,restaurant,Cafetería JEYMON,77
0101000020E6100000D15D6D20B8850DC08915246C2E3E4440,pub,"Bar ""La Toledana""",79
0101000020E6100000FE6A69C93E830DC01C9947FE603E4440,pub,Cafetería JEYMON,80
0101000020E6100000BCA9EDCB3E840DC0C6850321593E4440,pub,Las Torres,81
0101000020E610000045FFBA8910BD0DC05B05D61643394440,pub,La friolera,83
0101000020E61000006EF13A2C1EB80DC0F4948BE722394440,cafe,Condemar,85
0101000020E61000005A2BDA1CE7B60DC05885178E31394440,pub,Sidrería El Cabañón,87
0101000020E610000083610A20C6850DC072288DE2663E4440,pub,Bar Derby,89
0101000020E6100000FBED467AAC840DC0A9FF07B3643E4440,atm,Servired,90
0101000020E6100000A5AD0095E0830DC0309DD66D503E4440,atm,Servired,91
0101000020E61000008FD1F01C80830DC09C5901744E3E4440,restaurant,Taberna Restaurante TXAMIZO,93
0101000020E6100000FFF62B5382840DC0BF791629393E4440,atm,Servired,95
0101000020E6100000A1945A39C5840DC032B7312C353E4440,fast_food,"Pollos ""El Sabroso""",96
0101000020E61000002EFAAF181A840DC01D6A25BE243E4440,restaurant,Restaurante FEREVA,100
0101000020E610000097265B13C17E0DC0BB57F7D9123E4440,pub,"Bar ""annais""",102
0101000020E6100000224A20CABC8A0DC04A27124C353E4440,atm,Servired,105
0101000020E61000004FE61F7D93D60DC039E345706D394440,restaurant,Cafetería y comidas,107
0101000020E61000008EA0E7058E7A0DC0D9870673053E4440,atm,Telebanco 4B,109
0101000020E610000068EFE76F9D8A0DC08061F9F36D344440,fast_food,McDonald's,111
0101000020E6100000F9CE79D7EA8C0DC0B20BAB1D6A344440,bar,Bar,112
0101000020E6100000A4FFE55AB4900DC02558C1148A344440,fast_food,Döner kebab,113
0101000020E6100000E0DBF4673F920DC0CB57B89B96344440,pub,Bar,114
